Test,Comparison,Year,Sex,Site,County,Cancer,p,Sig,Race
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,All Sites,Polk County,492.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,All Sites,Not Polk,488.6,0.4605 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,All Sites,Polk County,562.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,All Sites,Not Polk,570.8,0.3590 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,All Sites,Polk County,451.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,All Sites,Not Polk,431.9,0.0056 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,All Sites,Polk County,495.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,All Sites,Not Polk,487.9,0.1765 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,All Sites,Polk County,556.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,All Sites,Not Polk,552.8,0.6470 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,All Sites,Polk County,456.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,All Sites,Not Polk,442.4,0.0336 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,All Sites,Polk County,476.5,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,All Sites,Not Polk,491.4,0.0030 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,All Sites,Polk County,526.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,All Sites,Not Polk,537,0.1945 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,All Sites,Polk County,445.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,All Sites,Not Polk,460.9,0.0176 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,All Sites,Polk County,497.8,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,All Sites,Not Polk,499.5,0.7321 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,All Sites,Polk County,532.8,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,All Sites,Not Polk,548.2,0.0404 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,All Sites,Polk County,480.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,All Sites,Not Polk,465.1,0.0183 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Lung,Polk County,81.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Lung,Not Polk,68,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Lung,Polk County,98.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Lung,Not Polk,88.8,0.0114 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Lung,Polk County,69.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Lung,Not Polk,52.8,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Lung,Polk County,75.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Lung,Not Polk,65.2,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Lung,Polk County,89.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Lung,Not Polk,81.5,0.0230 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Lung,Polk County,66.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Lung,Not Polk,52.8,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Lung,Polk County,69.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Lung,Not Polk,63.7,0.0009 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Lung,Polk County,84,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Lung,Not Polk,74.6,0.0026 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Lung,Polk County,60,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Lung,Not Polk,55.3,0.0475 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Lung,Polk County,62.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Lung,Not Polk,59.7,0.0922 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Lung,Polk County,67.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Lung,Not Polk,67.2,0.8080 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Lung,Polk County,58.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Lung,Not Polk,54,0.0246 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Melanoma,Polk County,15.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Melanoma,Not Polk,19.4,0.0001 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Melanoma,Polk County,18.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Melanoma,Not Polk,22.8,0.0177 ,1,All
